"","Class"
"1","School"
"2","Valley"
"3","Spring"
"4","Tunnel"
"5","Stream"
"6","Gut"
"7","Bar"
"8","Park"
"9","Canal"
"10","Cape"
"11","Lake"
"12","Mine"
"13","Locale"
"14","Summit"
"15","Plain"
"16","Building"
"17","Cemetery"
"18","Civil"
"19","Populated Place"
"20","Flat"
"21","Woods"
"22","Gap"
"23","Ridge"
"24","Dam"
"25","Bay"
"26","Beach"
"27","Hospital"
"28","Channel"
"29","Slope"
"30","Island"
"31","Basin"
"32","Reservoir"
"33","Pillar"
"34","Trail"
"35","Cliff"
"36","Swamp"
"37","Arch"
"38","Area"
"39","Bend"
"40","Well"
"41","Reserve"
"42","Range"
"43","Harbor"
"44","Bench"
"45","Falls"
"46","Forest"
"47","Lava"
"48","Church"
"49","Rapids"
"50","Levee"
"51","Military"
"52","Crater"
"53","Glacier"
"54","Oilfield"
"55","Bridge"
"56","Post Office"
"57","Sea"
"58","Tower"
"59","Isthmus"
"60","Airport"
"61","Crossing"
"62","Arroyo"
"63","Census"
